season,episode,rating
1,1,7.8
1,2,8.2
1,3,7.6
1,4,7.5
1,5,7.6
1,6,8.4
1,7,7.7
1,8,8.1
1,9,7.8
1,10,7.8
1,11,8.1
1,12,7.7
1,13,7.7
2,1,8.3
2,2,8.6
2,3,7.5
2,4,8.3
2,5,7.9
2,6,7.6
2,7,7.8
2,8,8.1
2,9,7.8
3,1,8.2
3,2,8.4
3,3,8.0
3,4,7.6
3,5,8.2
3,6,7.9
3,7,8.5
3,8,7.7
3,9,7.8
3,10,8.1
3,11,7.6
3,12,8.5
3,13,7.6
3,14,7.9
3,15,8.3
3,16,8.5
3,17,8.1
3,18,7.7
3,19,7.4
3,20,8.2
3,21,8.6
3,22,8.3
3,23,7.7
4,1,7.9
4,2,8.3
4,3,7.8
4,4,7.6
4,5,8.4
4,6,7.6
4,7,8.2
4,8,8.2
4,9,8.3
4,10,7.5
4,11,7.5
4,12,8.1
4,13,8.2
4,14,8.1
4,15,8.0
4,16,7.4
4,17,8.2
4,18,7.4
4,19,8.3
4,20,7.4
4,21,8.1
4,22,8.5
5,1,8.2
5,2,8.0
5,3,7.7
5,4,8.4
5,5,8.0
5,6,7.8
5,7,7.9
5,8,7.7
5,9,7.8
5,10,7.9
5,11,8.0
5,12,8.3
5,13,7.9
5,14,7.6
5,15,7.6
5,16,7.9
5,17,7.6
5,18,8.3
5,19,8.7
5,20,8.4
5,21,8.7
6,1,7.9
6,2,7.7
6,3,9.1
6,4,7.6
6,5,7.5
6,6,7.9
6,7,7.6
6,8,7.7
6,9,7.3
6,10,7.7
6,11,7.7
6,12,8.3
6,13,7.7
6,14,7.6
6,15,7.5
6,16,7.6
6,17,7.9
6,18,8.0
6,19,9.0
7,1,8.0
7,2,7.9
7,3,7.7
7,4,7.6
7,5,8.1
7,6,8.0
7,7,8.1
7,8,7.9
7,9,8.5
7,10,7.7
7,11,8.2
7,12,7.5
7,13,7.5
7,14,7.7
7,15,8.0
7,16,8.2
7,17,7.7
7,18,8.1
7,19,8.1
7,20,7.7
7,21,7.6
7,22,7.7
8,1,7.8
8,2,8.0
8,3,8.0
8,4,7.9
8,5,7.8
8,6,8.2
8,7,8.2
8,8,8.3
8,9,7.6
8,10,7.7
8,11,7.6
8,12,8.0
8,13,7.7
8,14,7.9
8,15,7.8
8,16,7.8
8,17,7.4
8,18,7.7
8,19,7.7
8,20,7.5
8,21,8.2
9,1,7.5
9,2,8.5
9,3,7.7
9,4,8.1
9,5,7.5
9,6,8.0
9,7,7.7
9,8,7.3
9,9,7.4
9,10,8.1
9,11,7.6
9,12,7.9
9,13,7.2
9,14,7.5
9,15,8.0
9,16,7.9
9,17,7.3
9,18,7.2
9,19,7.2
9,20,7.6
9,21,7.3
9,22,7.4
10,1,8.1
10,2,7.5
10,3,7.2
10,4,7.5
10,5,7.6
10,6,7.2
10,7,7.6
10,8,8.2
10,9,6.8
10,10,7.5
10,11,7.3
10,12,7.5
10,13,7.4
10,14,7.2
10,15,7.2
10,16,6.9
10,17,7.7
10,18,7.0
10,19,7.1
10,20,7.7
10,21,6.9
10,22,7.6
11,1,7.6
11,2,7.4
11,3,7.3
11,4,7.4
11,5,7.3
11,6,8.0
11,7,7.3
11,8,6.7
